lambda,n,n_rep,emp_mean,thy_mean,emp_var,thy_var,emp_mean_over_logn,thy_mean_over_logn,limit_a,emp_var_over_Hn,thy_var_over_Hn,V_lambda,parent_mean
0.0,200,800,9.795,9.756061896242889,7.001727158948686,7.196275712182898,1.8487001291849088,1.8413509839632662,2.0,1.1921829155673473,1.2253086652786511,2.0,0.6516312500000001
0.0,500,800,11.49,11.58564685998105,8.68325406758448,9.013902597921472,1.8488696017560886,1.8642602520539464,2.0,1.2786746934453272,1.3273651849219188,2.0,0.6553950000000001
0.0,1000,800,13.14375,12.97094172110069,10.383565394242803,10.39520345437445,1.9027526988386223,1.877736138187566,2.0,1.387347961894434,1.3889029228727698,2.0,0.6753925
0.0,2000,800,14.57375,14.356736207220564,11.661637984981226,11.77899943991099,1.917371006610444,1.8888199504780236,2.0,1.4259997639033777,1.4403508702605408,2.0,0.664324375
0.0,5000,800,15.99875,16.189017705968872,13.540674280350439,13.6100813585813,1.8784063764250167,1.900745626186385,2.0,1.4889173547154009,1.4965492791807862,2.0,0.6672055
1.0,200,800,5.78125,5.873030948121444,4.301275031289111,4.233109402106447,1.0911483023838953,1.1084709619702993,1.0,0.732377382187118,0.720770831875227,1.0,0.4786625
1.0,500,800,6.6775,6.790823429990525,4.807002503128912,5.14789136447563,1.0744844878787017,1.0927194961359876,1.0,0.7078673967430219,0.7580658542439547,1.0,0.4922075
1.0,1000,800,7.42875,7.484470860550346,5.679522841051314,5.840537293868786,1.0754217108129274,1.083488131567566,1.0,0.7588409316932914,0.7803540694711611,1.0,0.49713375
1.0,2000,800,8.24625,8.177868103610283,6.974328848560702,6.53343416178289,1.0849040681541382,1.0759075185005018,1.0,0.852829705761792,0.7989165487883786,1.0,0.495905
1.0,5000,800,9.1725,9.094308852984437,7.662321652065081,7.4495748061375435,1.0769392913670421,1.0677589023282723,1.0,0.8425402937080341,0.819146889177054,1.0,0.48928275
2.0,200,800,4.22375,4.24868729874763,1.8685215894868585,1.8692469641997926,0.797187051622742,0.8018936965861178,0.6666666666666666,0.318152859399545,0.3182763688309343,0.37037037037037035,0.336725
2.0,500,800,4.8175,4.860548953327016,2.1418710888610764,2.20916544763274,0.7751896698398569,0.7821167282553257,0.6666666666666666,0.31540668240641695,0.32531628460200185,0.37037037037037035,0.33265500000000003
2.0,1000,800,5.27125,5.32298057370023,2.273014705882353,2.4660712372474882,0.7630915959108387,0.7705803634787385,0.6666666666666666,0.30369744878867955,0.3294917280319472,0.37037037037037035,0.33006125
2.0,2000,800,5.7975,5.785245402406855,2.7924843554443055,2.722884864371539,0.7627383762466111,0.7611261206416519,0.6666666666666666,0.3414685001108672,0.33295778678179794,0.37037037037037035,0.338154375
2.0,5000,800,6.43375,6.396205901989624,3.1320259699624526,3.0623073174817432,0.7553838283818706,0.7509757919352846,0.6666666666666666,0.3443940623299406,0.3367278775095482,0.37037037037037035,0.34774925
