policy,n,reps,s,t,empirical_covariance,theoretical_covariance,absolute_error
fixed,2500,400,0.25,0.25,0.42253457644110276,0.41666666666666663,0.005867909774436131
fixed,2500,400,0.25,0.5,0.45261918796992484,0.4786243145820978,0.02600512661217297
fixed,2500,400,0.25,0.75,0.4678376741854637,0.5190545581731321,0.05121688398766838
fixed,2500,400,0.25,1.0,0.5012263458646616,0.5497949628220392,0.048568616957377575
fixed,2500,400,0.5,0.25,0.45261918796992484,0.4786243145820978,0.02600512661217297
fixed,2500,400,0.5,0.5,0.7835015438596491,0.8333333333333331,0.04983178947368405
fixed,2500,400,0.5,0.75,0.8240485012531328,0.903726475998082,0.0796779747449492
fixed,2500,400,0.5,1.0,0.8753865463659147,0.9572486291641956,0.08186208279828089
fixed,2500,400,0.75,0.25,0.4678376741854637,0.5190545581731321,0.05121688398766838
fixed,2500,400,0.75,0.5,0.8240485012531328,0.903726475998082,0.0796779747449492
fixed,2500,400,0.75,0.75,1.0965798095238097,1.2499999999999998,0.15342019047619004
fixed,2500,400,0.75,1.0,1.1573872280701751,1.324029801311015,0.16664257324083986
fixed,2500,400,1.0,0.25,0.5012263458646616,0.5497949628220392,0.048568616957377575
fixed,2500,400,1.0,0.5,0.8753865463659147,0.9572486291641956,0.08186208279828089
fixed,2500,400,1.0,0.75,1.1573872280701751,1.324029801311015,0.16664257324083986
fixed,2500,400,1.0,1.0,1.465187127819549,1.6666666666666665,0.20147953884711756
