policy,n,reps,limiting_p,limiting_a,mean_tail_p,theoretical_variance,empirical_mean,mean_se,empirical_variance,variance_se,variance_ci_low,variance_ci_high,variance_ratio,q025,q500,q975,skewness,excess_kurtosis,ks_statistic,ks_p_value
fixed,1000,500,0.6,0.19999999999999996,0.5999999999999999,1.6666666666666665,0.03250821434653095,0.055584617759438855,1.544824865731463,0.09780115333838127,1.3531346051882356,1.7365151262746903,0.9268949194388778,-2.4033310217279684,0.03162277660168379,2.3732893839563673,-0.08822249892616123,-0.38835594625489467,0.04010305738320297,0.3870878504534586
fixed,2500,500,0.6,0.19999999999999996,0.5999999999999999,1.6666666666666665,-0.025920000000000006,0.05785576969823105,1.6736450436873749,0.10595661630173685,1.4659700757359706,1.8813200116387792,1.004187026212425,-2.522,-0.04,2.48,0.04786586807179043,-0.20881425921020869,0.040442455726689364,0.3767834679112594
fixed,5000,500,0.6,0.19999999999999996,0.5999999999999999,1.6666666666666665,0.03320573444452029,0.05896654020822534,1.738526432064128,0.11006418522699322,1.5228006290192213,1.9542522351090348,1.0431158592384768,-2.505279325743938,0.0565685424949238,2.715290039756342,-0.001253661875132882,-0.061140373879646326,0.03358175984664391,0.6133429168907403
annealing,1000,500,0.6,0.19999999999999996,0.6016346365198545,1.6666666666666665,0.11194462916996065,0.06000114227369589,1.8000685370741485,0.11396034781627279,1.576706255354254,2.023430818794043,1.0800411222444892,-2.6563132345414386,0.12649110640673517,2.5930676813380713,-0.04323982977528062,0.19200319630679008,0.05953628564947294,0.05544371800088865
annealing,2500,500,0.6,0.19999999999999996,0.6009257124545385,1.6666666666666665,-0.053439999999999994,0.0623110589617756,1.941334034468938,0.12290371018608341,1.7004427625042147,2.1822253064336614,1.164800420681363,-2.8609999999999998,0.0,2.700999999999999,-0.1540313750876156,0.19899732257193392,0.0316645879913621,0.6855775725695554
annealing,5000,500,0.6,0.19999999999999996,0.6006070404749889,1.6666666666666665,0.01934644153326393,0.05815256203592998,1.6908602356713425,0.10704649106250883,1.4810491131888253,1.9006713581538597,1.0145161414028057,-2.49043008333902,0.07071067811865475,2.5618478682388597,-0.0816423593281386,-0.23530871698225386,0.03903417601939074,0.42065078312511095
logistic_learning,1000,500,0.61,0.21999999999999997,0.6121896787422987,1.7857142857142856,0.06741975971478985,0.061311886668849035,1.879573723446894,0.11899373321556576,1.6463460063443853,2.112801440549403,1.0525612851302608,-2.4033310217279684,0.06324555320336758,2.6563132345414386,-0.02592896705729452,-0.3080991767490624,0.04675338087633307,0.21755944665787874
logistic_learning,2500,500,0.61,0.21999999999999997,0.6113009021762158,1.7857142857142856,0.051120000000000027,0.06169300726574269,1.9030135727454909,0.120477684145107,1.6668773118210811,2.1391498336699004,1.065687600737475,-2.901,0.16,2.56,-0.12101755216388899,-0.21042529942920662,0.05662789937493429,0.07790449344359451
logistic_learning,5000,500,0.61,0.21999999999999997,0.6108838199704514,1.7857142857142856,0.02319310242291877,0.05939013500803433,1.7635940681362725,0.11165118953648283,1.5447577366447662,1.9824303996277788,0.9876126781563127,-2.701855010913798,0.0282842712474619,2.517300141024109,-0.12283386582297008,-0.017055324118024018,0.027471757322816204,0.8345410385654618
damped_empirical,1000,500,0.58,0.15999999999999992,0.5812822547262769,1.4705882352941173,-0.1597582673917065,0.0536484006638369,1.4390754468937876,0.09110627461354204,1.2605071486512451,1.6176437451363301,0.9785713038877758,-2.5630260435664716,-0.12649110640673517,1.9938160647361618,-0.11792338710799605,-0.13018616136962535,0.07860189872756251,0.003913363520417375
damped_empirical,2500,500,0.58,0.15999999999999992,0.5807063279430513,1.4705882352941173,-0.009599999999999992,0.05818839970062279,1.6929449298597194,0.10717847074545143,1.4828751271986347,1.9030147325208042,1.1512025523046094,-2.644,-0.04,2.6229999999999976,0.04353800355372939,-0.06110448081490061,0.03606332861959077,0.5219659474655429
damped_empirical,5000,500,0.58,0.15999999999999992,0.5804661210593152,1.4705882352941173,-0.06386588447676897,0.057753195242526985,1.6677157803607212,0.10558124119957656,1.4607765476095511,1.8746550131118913,1.1340467306452906,-2.6870057685088806,0.0282842712474619,2.4890158697766473,-0.0646298273981977,-0.03329978254436261,0.048533622024107964,0.18347303357519618
